question,prediction,truth,exact_match,f1
Quân Đội Pháp gồm lực lượng nào?,.,"lực lượng viễn chinh Pháp, lê dương Pháp, phụ lực quân bản xứ và Quân đội Quốc gia Việt Nam",0,0.0
Cuộc kháng chiến chống Pháp xâm lược diễn ra vào năm nào?,năm 5733cb484776f41900661258 ## 2002,1945 – 1954,0,0.0
"Trong trận chiến điện biên phủ, ai chỉ huy QĐNDVN?",Đại tướng Võ Nguyên Giáp,Đại tướng Võ Nguyên Giáp,1,1.0
Pháp đầu hàng khi nào?,Đánh dấu,tháng 5 năm 1954,0,0.0
Trận Điện Biên Phủ diễn ra trong bao lâu?,2 tháng,2 tháng,1,1.0
Số lượng quân mà Pháp đổ vào trong trận Điện Biên Phủ?,16.200 người,16.200,0,0.6666666666666666
Quân đội Pháp có ai ngoài lực lượng viễn chinh?,George Washington bổ nhiệm làm chỉ huy của nó .,"lê dương Pháp, phụ lực quân bản xứ và Quân đội Quốc gia Việt Nam",0,0.0
Ý nghĩa cỉa trận chiến này?,Croatia $$$. .,lần đầu tiên quân đội của một nước thuộc địa châu Á đánh thắng quân đội của một cường quốc châu Âu bằng sức mạnh quân sự,0,0.0
Có bao nhiêu nước đã dành độc lập từ 1960 - 1967?,mười sáu,17 nước châu Phi,0,0.0
Pháp được ai trợ giúp trong trận chiến?,Chung Bonaparte và thám hiểm của ông,Hoa Kỳ,0,0.0
Sau trận chiến thì tình hình của Pháp như thế nào?,Croatia $$$.,không còn khả năng để tiếp tục ứng chiến,0,0.0
Việt Nam là quốc gia thứ mấy đánh thắng quân đội Pháp?,"VC"",",lần đầu tiên,0,0.0
Diện tích vùng nước trên Trái Đất?,.,360.000.000 km2,0,0.0
"Về thể tích, đại dương nào lớn thứ 2 thế giới tính?","Thái Bình Dương,",Đại Tây Dương,0,0.0
Đại dương nào lớn nhất thế giới theo thể tích?,"Thái Bình Dương,",Thái Bình Dương,0,0.6666666666666666
Đại dương nào lớn thứ 3 thế giới về thể tích?,"Thái Bình Dương,",Ấn Độ Dương,0,0.0
Đại dương nào bé nhất thế giới theo thể tích?,Bắc Băng Dương.,Bắc Băng Dương,0,0.6666666666666666
Định nghĩa đại dương?,khối nước mặn tạo nên phần lớn thủy quyển của một hành tinh.,khối nước mặn tạo nên phần lớn thủy quyển của một hành tinh,0,0.9230769230769231
Bao nhiêu phần trăm đại dương thế giới chưa được khám phá?,hơn 95%,95%,0,0.6666666666666666
Đại dương chiếm bao nhiêu % sinh quyển?,90%,90%,1,1.0
Độ sâu của đại dương?,hơn 95% đại dương thế giới chưa được khám phá.,3.700 m,0,0.0
Độ sâu của biển theo ft?,ft (900 m).,12.100 ft,0,0.4
Thể tích đại dương?,đại dương chiếm khoảng 71% bề mặt và 90% sinh quyển.,"1,35 tỷ km3",0,0.0
Có bao nhiêu loài đã biết trong đại dương?,hơn 95% đại dương thế giới chưa được khám phá.,230.000,0,0.0
Ảnh hưởng của đại dương đến sự sống?,có ảnh hưởng.,không thể thiếu,0,0.0
Nguồn gốc đại dương?,khối nước mặn tạo nên phần lớn thủy quyển của một hành tinh.,hình thành vào thời hỏa thành và có lẽ đã thúc đẩy sự sống xuất hiện,0,0.0
Tỷ lệ đại tây dương so với hành tinh?,97%,1/5,0,0.0
Đại tây dương lớn thứ mấy?,khoảng 71%,2,0,0.0
Phía Tây đại tây dương là đâu?,châu Mỹ,châu Mỹ,1,1.0
Bề rộng của đại tây đương?,khoảng 9.600 km mỗi năm lại dang rộng thêm 2– 3 cm.,9.600 km,0,0.2857142857142857
Biến thiên chiều rộng của đại tây dương?,Xét,2– 3 cm,0,0.0
Đại tây dương nối liền với bắc băng dương bởi gì?,"Thái Bình Dương,",Thái bình dương,0,0.3333333333333333
Hàng lang Drake nằm ở đâu của Đại tây dương?,phía Nam.,phía Bắc,0,0.5
Diện tích đại tây dương?,Xét,106.400.000 km²,0,0.0
Thái bình dương nối liền với đại tây dương qua gì?,Xét,một công trình nhân tạo,0,0.0
Công trình nhân tạo nối liền đại tây dương và thái bình dương?,Xét,kênh đào Panama,0,0.0
Ở kinh tuyến 20 Đông của Đại tây dương là đâu?,ranh giới giữa Ấn Độ Dương,Ấn Độ Dương,0,0.6666666666666666
Đại Tây Dương ngăn cách với Bắc băng dương ở đâu?,Xét,một đường kéo dài từ Greenland đến Tây bắc của Iceland và từ phía Đông bắc của Iceland đến cực Nam của Spitsbergen và North Cape về phía Bắc của Na Uy,0,0.0
Hình dạng của đại tây dương?,Ấn,hình chữ S,0,0.0
Phía bắc và nam của đại tây dương ngăn cách ở đâu?,dòng nước ngược vùng xích đạo vào khoảng 8 vĩ độ Bắc.,dòng nước ngược vùng xích đạo vào khoảng 8 vĩ độ Bắc,0,0.9166666666666666
North Cape nằm ở đâu?,Tây Nam Cực,phía Bắc của Na Uy,0,0.0
Ai làm ra dota?,Valve Corporation,Valve Corporation,1,1.0
Nguồn gốc dota 2?,"Defense of the Ancients, từ trò chơi Warcraft",trò chơi Warcraft III: Reign of Chaos và bản mở rộng của nó The Frozen Throne,0,0.3333333333333333
ARTS là gì?,được họ điều,trò chơi hành động chiến thuật thời gian thực,0,0.0
Dota 2 dựa trên game gì?,Warcraft III: Reign of Chaos,"mod game nổi tiếng, Defense of the Ancients",0,0.15384615384615385
Ai công bố game dota 2?,"Game Informer,",Game Informer,0,0.5
Dota 2 được công bố vào tháng năm nào?,tháng 10 năm 2010,tháng 10 năm 2010,1,1.0
Hệ thống mà Valve đã sử dụng để phát hành và cập nhật Dota 2?,Steam,Steam,1,1.0
Game mở rộng của Warcraft III là gì?,The Frozen Throne.,The Frozen Throne,0,0.6666666666666666
Một trận của dota gồm bao nhiêu đội?,DotA.,2 đội,0,0.0
Ancient là gì?,họ điều,Nằm giữa pháo đài mỗi bên là một công trình,0,0.0
Điều kiện chiến thắng của 1 trận dota 2?,DotA.,một đội phải phá hủy thánh tích của đội đối phương,0,0.0
Một nhân vật trong dota 2 do bao nhiêu người chơi điều khiển?,DotA.,Mỗi người chơi,0,0.0
Tên gọi khác của Ancient?,Cận Đông,Thánh tích,0,0.0
Làm thế nào để chiến thắng dota 2?,DotA.,phối hợp cùng đồng đội giành lợi thế trên bản đồ,0,0.0
Electronic dance music là gì?,Nhạc nhảy điện tử,Nhạc nhảy điện tử,1,1.0
Thuật ngữ hay dùng khi nhắc đến nhạc điển tử?,tử,EDM,0,0.0
Nhạc điện tử là gì?,tử,"một thể loại nhạc có tiết tấu mạnh kế thừa từ nhạc disco của những năm 1970 và ở một vài khía cạnh nào đó, nó cũng là những thể nghiệm của nhạc Pop",0,0.0
Nguồn gốc của nhạc điện tử?,tử,nhạc disco,0,0.0
Nhạc Disco có từ khi nào?,.,năm 1970,0,0.0
Nhờ đâu mà nhạc điện tử thịnh hành?,$$$.,các lễ hội nhạc nhảy (Dance Festival) và các câu lạc bộ nổi tiếng trên thế giới,0,0.0
Trụ sở Facebook?,"Menlo Park, California.","Menlo Park, California",0,0.6666666666666666
Facebook là gì?,là một website dịch vụ mạng xã hội và truyền thông xã hội,một website dịch vụ mạng xã hội và truyền thông xã hội,0,0.8
Ai thành lập Facebook?,Mark Zuckerberg,Mark Zuckerberg,1,1.0
Facebook được thành lập ngày tháng nào?,ngày 4 tháng 2 năm 2004,ngày 4 tháng 2,0,0.8
Ai giúp đỡ Mark làm Facebook?,Hughes,"bạn bè là sinh viên khoa khoa học máy tính và bạn cùng phòng Eduardo Saverin, Andrew McCollum, Dustin Moskovitz và Chris Hughes khi Mark còn là sinh viên tại Đại học Harvard",0,0.05882352941176471
Ý nghĩa đằng sau cái tên facebook?,cuốn sổ có hình mặt,bắt nguồn từ cuốn sổ có hình mặt (face book) của tất cả các sinh viên trong các trường đại học Mỹ,0,0.37037037037037035
Ban đầu thì Facebook dành cho ai?,"giới hạn cho sinh viên ở Harvard,",giới hạn cho sinh viên ở Harvard,0,0.8571428571428571
Sau cùng thì ai được sử dụng Facebook?,bất cứ ai trên 13 tuổi.,bất cứ ai trên 13 tuổi,0,0.8333333333333334
Sau Ivy League thì sinh viên trường nào được xài facebook>,"Boston,",Đại học Stanford,0,0.0
"Các bạn cùng phòng gi11p Zuckerberg làm facebook, ngoài Chris Hughes thì còn ai?","Eduardo Saverin, Andrew McCollum, Dustin Moskovitz","Eduardo Saverin, Andrew McCollum, Dustin Moskovitz",1,1.0
Giới hạn độ tuổi khi xài Facebook sau khi mở rộng ra toàn thế giới?,có được thay đổi phù hợp theo từng đặc thù của từng quốc gia.,thay đổi phù hợp theo từng đặc thù của từng quốc gia,0,0.7692307692307692
Fields là gì?,sự công nhận và hỗ trợ cho các nhà toán học,"giải thưởng được trao cho tối đa 4 nhà toán học không quá 40 tuổi tại mỗi kỳ Đại hội quốc tế (ICM) của Hiệp hội Toán học quốc tế (IMU), được tổ chức 4 năm/lần",0,0.1702127659574468
Tên viết tắt của hiệp hội toán học quốc tế?,ĐHQG,IMU,0,0.0
Ai là người thành lập nên giải thưởng này?,RIBA,nhà toán học Canada John Charles Fields,0,0.0
Lần đầu tiên Fields được thưởng là khi nào?,"1936,",1936,0,0.0
Bao nhiêu năm thì Fields được tổ chức 1 lần?,4,4 năm/lần,0,0.6666666666666666
Khoảng thời gian giữa các lần tổ chức Fields?,4 năm/lần.,4 năm/lần,0,0.5
Kể từ bao lâu thì Fields được trao đều đều?,năm 1950,1950,0,0.6666666666666666
IMU là gì?,họ,Hiệp hội Toán học quốc tế,0,0.0
Giải thưởng có mục đích gì?,kết quả thử nghiệm (kỳ,sự công nhận và hỗ trợ cho các nhà toán học trẻ tuổi đã có những đóng góp quan trọng có tính đột phá cho ngành toán học,0,0.0
Chất liệu nào được dùng để chế tạo huy chương?,.,vàng 14 carat,0,0.0
Tiền mặt trao thưởng là bao nhiêu?,quá,5.500 đôla Canada,0,0.0
63.5 là số gì của huy chương?,họ,đường kính,0,0.0
Huy chương Fields hay được ví von là gì?,"""Giải Nobel dành cho Toán học"".",Giải Nobel dành cho Toán học,0,0.6666666666666666
Giải Fields được trao cho ai?,nhà toán học không quá 40 tuổi, các nhà toán học có nhiều công trình nghiên cứu hơn là chỉ có 1 nghiên cứu quan trọng,0,0.23076923076923078
Giải Fields được trao cho nhà toán học như thế nào?,không quá 40 tuổi,có nhiều công trình nghiên cứu,0,0.0
FIFA là gì?,họ,Liên đoàn bóng đá thế giới,0,0.0
Tên tiếng Pháp của FIFA?,Fédération Internationale de Football Association,Fédération Internationale de Football Association,1,1.0
Phiên âm của Liên đoàn bóng đá thế giới?,"FIFA,",/ˈfiːfə/,0,0.0
Tên tiếng Anh của Liên đoàn Bóng đá thế giới>,"FIFA,",International Federation of Association Football,0,0.0
Liên đoàn bóng đá thế giới có định nghĩa là gì?,"FIFA,","cơ quan quản lý môn bóng đá, futsal và bóng đá bãi biển",0,0.0
Ngoài bóng đá và bóng đá bãi biển thì FIFA tổ chức gì?,"cơ thể bóng đá quốc tế,",futsal,0,0.0
Giải bóng đá quốc tế nổi tiếng là gì?,.,World Cup,0,0.0
World Cup nữ bắt đầu khi nào?,.,1991,0,0.0
World Cup bắt đầu khi nào?,.,1930,0,0.0
Khi nào FIFA được thành lập?,1906,1904,0,0.0
Giải FIFA đầu tiên gồm đội nào thi đấu?,Anh,"Bỉ, Đan Mạch, Đức, Hà Lan, Pháp, Tây Ban Nha, Thụy Điển và Thụy Sĩ",0,0.0
Trụ sở FIFA nằm ở đâu rứa?,.,Zürich,0,0.0
Hiện tại FIFA có nhiêu thành viên?,211 quốc gia,211,0,0.5
Liệt kê các liên đoàn châu lục của FIFA?,châu,"châu Á, châu Âu, Bắc & Trung Mỹ và Caribe, châu Đại Dương, Nam Mỹ và châu Phi",0,0.10526315789473684
Quyển kiểm soát luật quốc tế của FIFA?,.,không có quyền kiểm soát luật bóng đá,0,0.0
Ai có quyền kiểm soát luật đá banh?,Quốc tế Ban Liên đoàn bóng đá (IFAB).,Ủy ban bóng đá quốc tế,0,0.42857142857142855
Trách nhiệm của FIFA là gì?,"tổ chức và quảng bá cho giải đấu,",việc tổ chức và quảng bá cho giải đấu,0,0.823529411764706
Doanh thu của FIFA đến từ đâu?,tour du lịch của Trung Âu,tổ chức và quảng bá cho giải đấu,0,0.0
Lợi nhuận FIFA vào 2013?,năm,72 triệu,0,0.0
Khi nào FIFA đạt mức dữ trữ 1.4 tỷ đô?,liệu.,2013,0,0.0
Ngoài Nam Mĩ và Châu Phi thì FIFA có liên đòan ở châu nào?,"châu Đại Dương,","châu Á, châu Âu, Bắc & Trung Mỹ và Caribe, châu Đại Dương",0,0.25
Thiên chúa giáng sinh là gì rứa?,là bất cứ điều gì nhưng không thay đổi,một ngày lễ kỷ niệm Chúa Giêsu sinh ra đời,0,0.0
Lễ giáng sinh là gì?,là một ngày lễ kỷ niệm Chúa Giêsu sinh ra đời.,một ngày lễ kỷ niệm Chúa Giêsu sinh ra đời,0,0.8571428571428572
Tên gọi khác của giáng sinh?,"lễ Thiên Chúa giáng sinh, Noel hay Christmas","lễ Thiên Chúa giáng sinh, Noel hay Christmas",1,1.0
Ngoài Christmas ra thì lễ giáng sinh còn gọi là gì?,"lễ Thiên Chúa giáng sinh,","Thiên Chúa giáng sinh, Noel",0,0.8000000000000002
Chúa GieSu sinh ở đâu?,Giê-su,Bethlehem (Bêlem) thuộc xứ Judea (Giuđêa),0,0.0
xứ Judea có tên gọi khác là gì?,"Andrew,",Giuđêa,0,0.0
Tên gọi ngày nay của nơi sinh của chúa?,Chúa Thánh Thần.,1 thành phố của Palestine,0,0.0
Chúa sinh ra vào năm nào?,.,khoảng giữa năm 7 TCN và năm 2,0,0.0
Tại sao Christmas lại được tổ chức vào ngày 24 tháng 12?,đêm.,"theo lịch Do Thái, thời điểm tính bắt đầu một ngày là lúc hoàng hôn chứ không phải nửa đêm",0,0.0
Ngày giáng sinh chính thức là ngày nào?,ngày 25 tháng 12,25,0,0.4
Ngày 24/12 được gọi là ngày gì?,"lễ đêm 24 tháng 12 gọi là ""lễ vọng""",lễ vọng,0,0.1818181818181818
Ngày lễ chính ngày là ngày nào?,ngày 25 tháng 12,25,0,0.4
Ngày lễ chính ngày là ngày tháng nào?,ngày 25 tháng 12,ngày 25 tháng 12,1,1.0
"Giữa lễ vọng và lễ chính ngày, ngày nào nhiều người tham dự hơn?",lễ đêm 24 tháng 12,lễ vọng,0,0.28571428571428575
"Giữa 25/12 và 24/12, ngày nào nhiều người tham dự hơn?",lễ đêm 24 tháng 12,24 tháng 12,0,0.7499999999999999
Ngày giáng sinh theo lịch Gregorius là ngày nào?,ngày 7 tháng 1,ngày 7 tháng 1,1,1.0
Người Nga dùng lịch nào để định giáng sinh?,(Nga,Julius,0,0.0
Ai sử dụng lịch Julius cho ngày giáng sinh,"Nhiều giáo hội Chính thống giáo Đông phương như ở Nga, Gruzia","Nhiều giáo hội Chính thống giáo Đông phương như ở Nga, Gruzia",1,0.9166666666666666
Go là gì?,họ điều,một ngôn ngữ lập trình mới do Google thiết kế và phát triển,0,0.0
Ngôn ngữ nào mà Google mới phát triển?,Google Chrome.,Go,0,0.0
Go có gì hay?,điều,giúp ngành công nghiệp phần mềm khai thác nền tảng đa lõi của bộ vi xử lý và hoạt động đa nhiệm tốt hơn,0,0.0
Ai là người đã phát thảo Go?,Google,"Robert Griesemer, Rob Pike và Ken Thompson",0,0.0
Năm nào thì ý tưởng Go được ra đời?,"10/11/2009,",2007,0,0.0
Năm nào thì ý tưởng Go được ra đời trên bảng trắng?,.,2007,0,0.0
Khi nào thì các tiêu chí xây dựng Go được chốt?,ngày 21/9/2007,Vài ngày sau đó,0,0.3333333333333333
Ngày tháng nào thì ý tưởng Go được hình thành trên bảng trắng?,trắng).,21/9,0,0.0
Ai là người xây dựng biên dịch C?,.,Kem Thompson,0,0.0
Khi nào thì Go mở ra cho cộng động?,thế kỷ thứ chín.,10/11/2009,0,0.0
Khi nào Go trở thành dự án mã nguồn mở,"10/11/2009,",10/11/2009,0,0.0
GCC front-end cho Go do ai làm?,Ian Taylor,Ian Taylor,1,1.0
GCC front end cho Go được làm dựa vào đâu?,bản nháp của đặc tả ngôn ngữ này.,bản nháp của đặc tả ngôn ngữ này,0,0.875
Ai đã tham gia vào dự án vào cuối 2008?,Russ Cox,Russ Cox,1,1.0
Ai đã đóng góp ý tưởng cho dự án sau khi Go mở?,nhiều cá nhân trong cộng đồng,rất nhiều cá nhân trong cộng đồng,0,0.923076923076923
Tháng nào thì Kem Thompson xây dựng trình biên dịch?,"Tháng Giêng 2008,",Tháng Giêng,0,0.8
5/2008 thì cái gì đã được phát triển?,họ,GCC front-end,0,0.0
Tên khác của giải Grammy?,Gramophone Awards hay đơn giản Grammy),Gramophone Awards,0,0.5
Tên đơn giản của Giải grammy?,Grammy),Grammy,0,0.0
Grammy là giải gì?,âm nhạc,một giải thưởng được tổ chức bởi Viện thu âm nghệ thuật và khoa học quốc gia của Hoa Kỳ cho những thành tựu xuất sắc trong ngành công nghiệp thu âm,0,0.058823529411764705
Giải Grammy do ai tổ chức?,Viện thu âm nghệ thuật và khoa học quốc gia của Hoa Kỳ,Viện thu âm nghệ thuật và khoa học quốc gia của Hoa Kỳ,1,1.0
Giải Grammy dành cho ai?,âm nhạc,những thành tựu xuất sắc trong ngành công nghiệp thu âm,0,0.15384615384615385
Neil Portnow là ai?,Chủ tịch hiện nay của viện hàn lâm,Chủ tịch hiện nay của viện hàn lâm,1,1.0
Độ quan trọng của giải Grammy?,Giải,"giải thưởng danh giá nhất trong lĩnh vực âm nhạc toàn thế giới, tương đương với giải Oscar trong lĩnh vực điện ảnh",0,0.0
Người ta hay so sánh giải Grammy với giải gì?,Oscar,giải Oscar trong lĩnh vực điện ảnh,0,0.25
Giải Grammy lần đầu tiên tổ chức vào tháng mấy? ,Tháng 5,5,0,0.6666666666666666
Lễ Grammy được tổ chức đàu tiên vào lúc nào?,ngày 04 Tháng 5 1959,ngày 04 Tháng 5 1959,1,1.0
Giải Grammy dùng để làm gì?,những thành tựu xuất sắc trong ngành công nghiệp thu âm.,tôn vinh và tỏ lòng kính trọng những thành tựu âm nhạc với các nghệ sĩ,0,0.2222222222222222
Hollywood là gì? ,lộ Danh vọng Hollywood Tháng Ba 2006. .,"một khu của thành phố Los Angeles, California, Hoa Kỳ, nằm về phía tây bắc của thành phố này",0,0.0
Los Angeles nằm ở đâu?,Santa Monica,"California, Hoa Kỳ",0,0.0
Hollywood được ví von là gì?,Danh vọng,một trung tâm lịch sử điện ảnh,0,0.0
Cái gì là đại diện của điện ảnh Hoa kỳ?,chiến,Hollywood,0,0.0
