question,prediction,truth,exact_match,f1
Đại dương nào bé nhất thế giới theo thể tích?,Bắc Băng Dương.,Bắc Băng Dương,0,0.6666666666666666
Định nghĩa đại dương?,khối nước mặn tạo nên phần lớn thủy quyển của một hành tinh.,khối nước mặn tạo nên phần lớn thủy quyển của một hành tinh,0,0.9230769230769231
Bao nhiêu phần trăm đại dương thế giới chưa được khám phá?,hơn 95%,95%,0,0.6666666666666666
Đại dương chiếm bao nhiêu % sinh quyển?,90%,90%,1,1.0
Độ sâu của đại dương?,hơn 95% đại dương thế giới chưa được khám phá.,3.700 m,0,0.0
Độ sâu của biển theo ft?,10.911 m (35.797 ft).,12.100 ft,0,0.0
Thể tích đại dương?,đại dương chiếm khoảng 71% bề mặt và 90% sinh quyển.,"1,35 tỷ km3",0,0.0
Có bao nhiêu loài đã biết trong đại dương?,230.000 loài,230.000,0,0.6666666666666666
Ảnh hưởng của đại dương đến sự sống?,khí hậu và các kiểu thời tiết.,không thể thiếu,0,0.0
Nguồn gốc đại dương?,khối nước mặn tạo nên phần lớn thủy quyển của một hành tinh.,hình thành vào thời hỏa thành và có lẽ đã thúc đẩy sự sống xuất hiện,0,0.0
Tỷ lệ đại tây dương so với hành tinh?,1/5 diện tích hành tinh,1/5,0,0.33333333333333337
Đại tây dương lớn thứ mấy?,khoảng 71%,2,0,0.0
Phía Tây đại tây dương là đâu?,châu Mỹ,châu Mỹ,1,1.0
Bề rộng của đại tây đương?,khoảng 9.600 km mỗi năm lại dang rộng thêm 2– 3 cm.,9.600 km,0,0.2857142857142857
Biến thiên chiều rộng của đại tây dương?,3 cm.,2– 3 cm,0,0.4
Đại tây dương nối liền với bắc băng dương bởi gì?,hành lang Drake,Thái bình dương,0,0.0
Hàng lang Drake nằm ở đâu của Đại tây dương?,phía Nam.,phía Bắc,0,0.5
Diện tích đại tây dương?,"khoảng 106.400.000 km²[1],",106.400.000 km²,0,0.4
Thái bình dương nối liền với đại tây dương qua gì?,Bắc Băng Dương về phía Bắc và hành lang Drake về phía Nam.,một công trình nhân tạo,0,0.0
Công trình nhân tạo nối liền đại tây dương và thái bình dương?,Bắc Băng Dương,kênh đào Panama,0,0.0
Ở kinh tuyến 20 Đông của Đại tây dương là đâu?,ranh giới giữa Ấn Độ Dương,Ấn Độ Dương,0,0.6666666666666666
Đại Tây Dương ngăn cách với Bắc băng dương ở đâu?,từ Greenland,một đường kéo dài từ Greenland đến Tây bắc của Iceland và từ phía Đông bắc của Iceland đến cực Nam của Spitsbergen và North Cape về phía Bắc của Na Uy,0,0.11764705882352941
Hình dạng của đại tây dương?,Ấn,hình chữ S,0,0.0
Phía bắc và nam của đại tây dương ngăn cách ở đâu?,dòng nước ngược vùng xích đạo vào khoảng 8 vĩ độ Bắc.,dòng nước ngược vùng xích đạo vào khoảng 8 vĩ độ Bắc,0,0.9166666666666666
North Cape nằm ở đâu?,phía Bắc của Na Uy.,phía Bắc của Na Uy,0,0.8000000000000002
Ai làm ra dota?,Valve Corporation,Valve Corporation,1,1.0
Nguồn gốc dota 2?,chúng được cho là hình thành vào thời hỏa thành,trò chơi Warcraft III: Reign of Chaos và bản mở rộng của nó The Frozen Throne,0,0.0
ARTS là gì?,hành động chiến thuật thời gian thực,trò chơi hành động chiến thuật thời gian thực,0,0.8750000000000001
Dota 2 dựa trên game gì?,Warcraft III: Reign of Chaos,"mod game nổi tiếng, Defense of the Ancients",0,0.15384615384615385
Ai công bố game dota 2?,"Game Informer,",Game Informer,0,0.5
Dota 2 được công bố vào tháng năm nào?,tháng 10 năm 2010,tháng 10 năm 2010,1,1.0
Hệ thống mà Valve đã sử dụng để phát hành và cập nhật Dota 2?,Steam,Steam,1,1.0
Game mở rộng của Warcraft III là gì?,The Frozen Throne.,The Frozen Throne,0,0.6666666666666666
Một trận của dota gồm bao nhiêu đội?,2,2 đội,0,0.6666666666666666
Ancient là gì?,một công trình,Nằm giữa pháo đài mỗi bên là một công trình,0,0.4615384615384615
Điều kiện chiến thắng của 1 trận dota 2?,phá hủy thánh tích của đội đối phương.,một đội phải phá hủy thánh tích của đội đối phương,0,0.7368421052631579
Một nhân vật trong dota 2 do bao nhiêu người chơi điều khiển?,5,Mỗi người chơi,0,0.0
Tên gọi khác của Ancient?,Tiểu Tây Dương.,Thánh tích,0,0.0
Làm thế nào để chiến thắng dota 2?,phá hủy thánh tích của đội đối phương.,phối hợp cùng đồng đội giành lợi thế trên bản đồ,0,0.10526315789473685
Electronic dance music là gì?,Nhạc nhảy điện tử,Nhạc nhảy điện tử,1,1.0
Thuật ngữ hay dùng khi nhắc đến nhạc điển tử?,"EDM,",EDM,0,0.0
Nhạc điện tử là gì?,"EDM,","một thể loại nhạc có tiết tấu mạnh kế thừa từ nhạc disco của những năm 1970 và ở một vài khía cạnh nào đó, nó cũng là những thể nghiệm của nhạc Pop",0,0.0
Nguồn gốc của nhạc điện tử?,Đức.,nhạc disco,0,0.0
Nhạc Disco có từ khi nào?,những năm 1970,năm 1970,0,0.8
Nhờ đâu mà nhạc điện tử thịnh hành?,các lễ hội nhạc nhảy,các lễ hội nhạc nhảy (Dance Festival) và các câu lạc bộ nổi tiếng trên thế giới,0,0.45454545454545453
Trụ sở Facebook?,"Menlo Park, California.","Menlo Park, California",0,0.6666666666666666
Facebook là gì?,Facebook.,một website dịch vụ mạng xã hội và truyền thông xã hội,0,0.0
Ai thành lập Facebook?,Facebook.,Mark Zuckerberg,0,0.0
Facebook được thành lập ngày tháng nào?,Facebook.,ngày 4 tháng 2,0,0.0
Ai giúp đỡ Mark làm Facebook?,Hughes,"bạn bè là sinh viên khoa khoa học máy tính và bạn cùng phòng Eduardo Saverin, Andrew McCollum, Dustin Moskovitz và Chris Hughes khi Mark còn là sinh viên tại Đại học Harvard",0,0.05882352941176471
Ý nghĩa đằng sau cái tên facebook?,Facebook.,bắt nguồn từ cuốn sổ có hình mặt (face book) của tất cả các sinh viên trong các trường đại học Mỹ,0,0.0
Ban đầu thì Facebook dành cho ai?,"giới hạn cho sinh viên ở Harvard,",giới hạn cho sinh viên ở Harvard,0,0.8571428571428571
Sau cùng thì ai được sử dụng Facebook?,bất cứ ai trên 13 tuổi.,bất cứ ai trên 13 tuổi,0,0.8333333333333334
Sau Ivy League thì sinh viên trường nào được xài facebook>,"Boston,",Đại học Stanford,0,0.0
"Các bạn cùng phòng gi11p Zuckerberg làm facebook, ngoài Chris Hughes thì còn ai?","Eduardo Saverin, Andrew McCollum, Dustin Moskovitz","Eduardo Saverin, Andrew McCollum, Dustin Moskovitz",1,1.0
Giới hạn độ tuổi khi xài Facebook sau khi mở rộng ra toàn thế giới?,thay đổi phù hợp theo từng đặc thù của từng quốc gia.,thay đổi phù hợp theo từng đặc thù của từng quốc gia,0,0.8333333333333334
Fields là gì?,trọng.,"giải thưởng được trao cho tối đa 4 nhà toán học không quá 40 tuổi tại mỗi kỳ Đại hội quốc tế (ICM) của Hiệp hội Toán học quốc tế (IMU), được tổ chức 4 năm/lần",0,0.0
Tên viết tắt của hiệp hội toán học quốc tế?,"(IMU),",IMU,0,0.0
Ai là người thành lập nên giải thưởng này?,Alfred Nobel,nhà toán học Canada John Charles Fields,0,0.0
Lần đầu tiên Fields được thưởng là khi nào?,"1936,",1936,0,0.0
Bao nhiêu năm thì Fields được tổ chức 1 lần?,4,4 năm/lần,0,0.6666666666666666
Khoảng thời gian giữa các lần tổ chức Fields?,4 năm/lần.,4 năm/lần,0,0.5
Kể từ bao lâu thì Fields được trao đều đều?,năm 1950,1950,0,0.6666666666666666
IMU là gì?,Hiệp hội Toán học quốc tế,Hiệp hội Toán học quốc tế,1,1.0
Giải thưởng có mục đích gì?,học.,sự công nhận và hỗ trợ cho các nhà toán học trẻ tuổi đã có những đóng góp quan trọng có tính đột phá cho ngành toán học,0,0.0
Chất liệu nào được dùng để chế tạo huy chương?,vàng,vàng 14 carat,0,0.5
Tiền mặt trao thưởng là bao nhiêu?,Huy chương Fields,5.500 đôla Canada,0,0.0
63.5 là số gì của huy chương?,"đường kính 63,5mm",đường kính,0,0.8
Huy chương Fields hay được ví von là gì?,"""Giải Nobel dành cho Toán học"".",Giải Nobel dành cho Toán học,0,0.6666666666666666
Giải Fields được trao cho ai?,nhà toán học không quá 40 tuổi, các nhà toán học có nhiều công trình nghiên cứu hơn là chỉ có 1 nghiên cứu quan trọng,0,0.23076923076923078
Giải Fields được trao cho nhà toán học như thế nào?,không quá 40 tuổi,có nhiều công trình nghiên cứu,0,0.0
FIFA là gì?,Liên đoàn bóng đá thế giới,Liên đoàn bóng đá thế giới,1,1.0
Tên tiếng Pháp của FIFA?,Fédération Internationale de Football Association,Fédération Internationale de Football Association,1,1.0
Phiên âm của Liên đoàn bóng đá thế giới?,FIFA,/ˈfiːfə/,0,0.0
Tên tiếng Anh của Liên đoàn Bóng đá thế giới>,International Federation of Association Football),International Federation of Association Football,0,0.8000000000000002
Liên đoàn bóng đá thế giới có định nghĩa là gì?,"cơ quan quản lý môn bóng đá, futsal và bóng đá bãi biển.","cơ quan quản lý môn bóng đá, futsal và bóng đá bãi biển",0,0.8461538461538461
Ngoài bóng đá và bóng đá bãi biển thì FIFA tổ chức gì?,futsal,futsal,1,1.0
Giải bóng đá quốc tế nổi tiếng là gì?,World Cup,World Cup,1,1.0
World Cup nữ bắt đầu khi nào?,Âu.,1991,0,0.0
World Cup bắt đầu khi nào?,Âu.,1930,0,0.0
Khi nào FIFA được thành lập?,1904,1904,1,1.0
Giải FIFA đầu tiên gồm đội nào thi đấu?,Liên Xô,"Bỉ, Đan Mạch, Đức, Hà Lan, Pháp, Tây Ban Nha, Thụy Điển và Thụy Sĩ",0,0.0
Trụ sở FIFA nằm ở đâu rứa?,"Zürich,",Zürich,0,0.0
Hiện tại FIFA có nhiêu thành viên?,211 quốc gia,211,0,0.5
Liệt kê các liên đoàn châu lục của FIFA?,châu,"châu Á, châu Âu, Bắc & Trung Mỹ và Caribe, châu Đại Dương, Nam Mỹ và châu Phi",0,0.10526315789473684
Quyển kiểm soát luật quốc tế của FIFA?,không,không có quyền kiểm soát luật bóng đá,0,0.2222222222222222
Ai có quyền kiểm soát luật đá banh?,"Ủy ban bóng đá quốc tế),",Ủy ban bóng đá quốc tế,0,0.8333333333333334
Trách nhiệm của FIFA là gì?,"tổ chức và quảng bá cho giải đấu,",việc tổ chức và quảng bá cho giải đấu,0,0.823529411764706
Doanh thu của FIFA đến từ đâu?,tài trợ.,tổ chức và quảng bá cho giải đấu,0,0.0
Lợi nhuận FIFA vào 2013?,"1,3 tỉ đôla Mỹ,",72 triệu,0,0.0
Khi nào FIFA đạt mức dữ trữ 1.4 tỷ đô?,2013,2013,1,1.0
Ngoài Nam Mĩ và Châu Phi thì FIFA có liên đòan ở châu nào?,"châu Đại Dương,","châu Á, châu Âu, Bắc & Trung Mỹ và Caribe, châu Đại Dương",0,0.25
Thiên chúa giáng sinh là gì rứa?,là một ngày lễ kỷ niệm Chúa Giêsu sinh ra đời.,một ngày lễ kỷ niệm Chúa Giêsu sinh ra đời,0,0.8571428571428572
Lễ giáng sinh là gì?,là một ngày lễ kỷ niệm Chúa Giêsu sinh ra đời.,một ngày lễ kỷ niệm Chúa Giêsu sinh ra đời,0,0.8571428571428572
Tên gọi khác của giáng sinh?,"lễ Thiên Chúa giáng sinh, Noel hay Christmas","lễ Thiên Chúa giáng sinh, Noel hay Christmas",1,1.0
Ngoài Christmas ra thì lễ giáng sinh còn gọi là gì?,"lễ Thiên Chúa giáng sinh,","Thiên Chúa giáng sinh, Noel",0,0.8000000000000002
Chúa GieSu sinh ở đâu?,Bethlehem,Bethlehem (Bêlem) thuộc xứ Judea (Giuđêa),0,0.2857142857142857
xứ Judea có tên gọi khác là gì?,Tiểu Tây Dương.,Giuđêa,0,0.0
Tên gọi ngày nay của nơi sinh của chúa?,"1 thành phố của Palestine),",1 thành phố của Palestine,0,0.8000000000000002
Chúa sinh ra vào năm nào?,khoảng giữa năm 7 TCN và năm 2.,khoảng giữa năm 7 TCN và năm 2,0,0.75
Tại sao Christmas lại được tổ chức vào ngày 24 tháng 12?,đêm.,"theo lịch Do Thái, thời điểm tính bắt đầu một ngày là lúc hoàng hôn chứ không phải nửa đêm",0,0.0
Ngày giáng sinh chính thức là ngày nào?,ngày 25 tháng 12,25,0,0.4
Ngày 24/12 được gọi là ngày gì?,"lễ đêm 24 tháng 12 gọi là ""lễ vọng""",lễ vọng,0,0.1818181818181818
Ngày lễ chính ngày là ngày nào?,ngày 25 tháng 12,25,0,0.4
Ngày lễ chính ngày là ngày tháng nào?,ngày 25 tháng 12,ngày 25 tháng 12,1,1.0
"Giữa lễ vọng và lễ chính ngày, ngày nào nhiều người tham dự hơn?",lễ đêm 24 tháng 12,lễ vọng,0,0.28571428571428575
"Giữa 25/12 và 24/12, ngày nào nhiều người tham dự hơn?",ngày 25 tháng 12,24 tháng 12,0,0.5714285714285715
Ngày giáng sinh theo lịch Gregorius là ngày nào?,ngày 7 tháng 1,ngày 7 tháng 1,1,1.0
Người Nga dùng lịch nào để định giáng sinh?,sử dụng lịch Julius,Julius,0,0.4
Ai sử dụng lịch Julius cho ngày giáng sinh,"Nhiều giáo hội Chính thống giáo Đông phương như ở Nga, Gruzia","Nhiều giáo hội Chính thống giáo Đông phương như ở Nga, Gruzia",1,0.9166666666666666
Go là gì?,một ngôn ngữ lập trình mới,một ngôn ngữ lập trình mới do Google thiết kế và phát triển,0,0.631578947368421
Ngôn ngữ nào mà Google mới phát triển?,Go,Go,1,1.0
Go có gì hay?,khác.,giúp ngành công nghiệp phần mềm khai thác nền tảng đa lõi của bộ vi xử lý và hoạt động đa nhiệm tốt hơn,0,0.0
Ai là người đã phát thảo Go?,Google,"Robert Griesemer, Rob Pike và Ken Thompson",0,0.0
Năm nào thì ý tưởng Go được ra đời?,"10/11/2009,",2007,0,0.0
Năm nào thì ý tưởng Go được ra đời trên bảng trắng?,đấu.,2007,0,0.0
Khi nào thì các tiêu chí xây dựng Go được chốt?,ngày sau,Vài ngày sau đó,0,0.6666666666666666
Ngày tháng nào thì ý tưởng Go được hình thành trên bảng trắng?,ngày 21/9/2007,21/9,0,0.0
Ai là người xây dựng biên dịch C?,Kem Thompson,Kem Thompson,1,1.0
Khi nào thì Go mở ra cho cộng động?,trên 13 tuổi.,10/11/2009,0,0.0
Khi nào Go trở thành dự án mã nguồn mở,"ngày 10/11/2009,",10/11/2009,0,0.0
GCC front-end cho Go do ai làm?,Ian Taylor,Ian Taylor,1,1.0
GCC front end cho Go được làm dựa vào đâu?,bản nháp của đặc tả ngôn ngữ này.,bản nháp của đặc tả ngôn ngữ này,0,0.875
Ai đã tham gia vào dự án vào cuối 2008?,Russ Cox,Russ Cox,1,1.0
Ai đã đóng góp ý tưởng cho dự án sau khi Go mở?,cá nhân trong cộng đồng,rất nhiều cá nhân trong cộng đồng,0,0.8333333333333333
Tháng nào thì Kem Thompson xây dựng trình biên dịch?,"Tháng Giêng 2008,",Tháng Giêng,0,0.8
5/2008 thì cái gì đã được phát triển?,một GCC front-end cho Go,GCC front-end,0,0.5714285714285715
Tên khác của giải Grammy?,Gramophone Awards hay đơn giản Grammy),Gramophone Awards,0,0.5
Tên đơn giản của Giải grammy?,Grammy),Grammy,0,0.0
Grammy là giải gì?,âm nhạc,một giải thưởng được tổ chức bởi Viện thu âm nghệ thuật và khoa học quốc gia của Hoa Kỳ cho những thành tựu xuất sắc trong ngành công nghiệp thu âm,0,0.058823529411764705
Giải Grammy do ai tổ chức?,Viện thu âm nghệ thuật và khoa học quốc gia của Hoa Kỳ,Viện thu âm nghệ thuật và khoa học quốc gia của Hoa Kỳ,1,1.0
Giải Grammy dành cho ai?,âm nhạc,những thành tựu xuất sắc trong ngành công nghiệp thu âm,0,0.15384615384615385
Neil Portnow là ai?,Chủ tịch hiện nay của viện hàn lâm,Chủ tịch hiện nay của viện hàn lâm,1,1.0
Độ quan trọng của giải Grammy?,Giải,"giải thưởng danh giá nhất trong lĩnh vực âm nhạc toàn thế giới, tương đương với giải Oscar trong lĩnh vực điện ảnh",0,0.0
Người ta hay so sánh giải Grammy với giải gì?,Oscar,giải Oscar trong lĩnh vực điện ảnh,0,0.25
Giải Grammy lần đầu tiên tổ chức vào tháng mấy? ,5,5,1,1.0
