question,prediction,truth,exact_match,f1
Các học phần trong chương trình đào tạo được sắp xếp như thế nào?,theo trình tự nhất định vào từng học kỳ của khóa đào tạo.,nhất định,0,0.2666666666666667
Vì sao cần phải tuân thủ theo trình tự này?,thuận lợi nhất cho việc tiếp thu kiến thức.,để thuận lợi nhất cho việc tiếp thu kiến thức,0,0.8421052631578948
Ai khuyến cáo sinh viên nên tuân thủ theo trình tự các học phần trong chương trình đào tạo đã được sắp xếp?,Trường,Trường,1,1.0
Sinh viên được phép học không theo trình tự của trường không?,không,nên tuân thủ,0,0.0
Sinh viên có nên thay đổi trình tự các học phần trong chương trình đào tạo đã được sắp xếp hay không?,nên,nên tuân thủ,0,0.5
"Chương trình tiên tiến được thiết kế, xây dựng dựa trên cơ sở nào?",chương trình đang được áp dụng ở trường đại học tiên tiến trên thế giới,chương trình đang được áp dụng ở trường đại học tiên tiến trên thế giới,1,1.0
Chương trình đang được áp dụng ở trường đại học tiên tiến trên thế giới được gọi tắt là gì?,chương trình gốc),chương trình gốc,0,0.6666666666666666
Chương trình đang được áp dụng ở trường đại học tiên tiến trên thế giới được lấy làm cơ sở cho chương trình đào tạo nào ở Việt Nam?,Chương trình tiên tiến,Chương trình tiên tiến,1,1.0
Mục tiêu của chương trình tiên tiến?,đáp ứng mục tiêu của chương trình tiên tiến;,đáp ứng mục tiêu của chương trình tiên tiến,0,0.8888888888888888
Au quy định điều lệ của chương trình đào tạo?,Điều 6,Bộ GD&ĐT và ĐHQG-HCM,0,0.0
Mình có thể học liên thông với chương trình khác không?,văn bằng hai,có khả năng liên thông,0,0.0
Tổng số tín chỉ của các chương trình đào tạo tối thiểu là bao nhiêu và tối đa là bao nhiêu?,30,tối thiểu là 120 và tối đa là 140,0,0.0
Ai là người phê duyệt chương trình đào tạo?,Hiệu trưởng,Hiệu trưởng,1,1.0
Mỗi lớp sinh viên có mấy cố vấn?,một,một,1,1.0
Cố vấn học tập được phân công phụ trách đối tượng nào?,Trưởng khoa/Trưởng bộ môn quản lý ngành đào tạo,lớp sinh viên,0,0.0
Ai là người ra quyết định bổ nhiệm Cố vấn học tập?,Hiệu trưởng,Hiệu trưởng,1,1.0
Cố vấn học tập do ai đề nghị để Hiệu trưởng ra quyết định bổ nhiệm?,Trưởng khoa/Trưởng bộ môn quản lý ngành đào tạo,Trưởng khoa/Trưởng bộ môn quản lý ngành đào tạo,1,1.0
Nhiệm vụ cụ thể của Cố vấn học tập là gì?,có quy định riêng.,quy định riêng,0,0.5714285714285715
"Đầu khóa học, trường có trách nhiệm thông báo cho sinh viên về vấn đề gì?",viên.,"Chương trình đào tạo toàn khóa cho từng ngành học, Quy chế học tập và các quy định của Trường, Quyền lợi và nghĩa vụ của sinh viên",0,0.0
"Đầu khóa học, sinh viên sẽ nhận được thông báo về những vấn đề gì?",viên.,"Chương trình đào tạo toàn khóa cho từng ngành học, Quy chế học tập và các quy định của Trường, Quyền lợi và nghĩa vụ của sinh viên",0,0.0
Sinh viên làm sao để biết về chương trình đào tạo toàn khóa cho từng ngành học?,Trường có trách nhiệm thông báo,Trường có trách nhiệm thông báo,1,1.0
Ai có trách nhiệm thông báo cho sinh viên học phí?,Trường,Trường,1,1.0
Thời khóa biểu giảng dạy được thông báo cho sinh viên khi nào?,"khóa tuyển mới, học kỳ đầu tiên",Đầu mỗi học kỳ,0,0.36363636363636365
Khi nào sinh viên được biết các thay đổi trong chương trình đào tạo?,căn cứ chương trình môn học và kết quả trên bảng điểm học tập,Đầu mỗi năm học,0,0.11111111111111112
Chương trình tài năng được xây dựng dựa trên chương trình đào tạo nào?,đại trà;,chương trình đại trà,0,0.3333333333333333
Mục tiêu cùa chương trình tài năng là gì?,tuyển chọn và tạo điều kiện phát triển cho các sinh viên xuất sắc.,tuyển chọn và tạo điều kiện phát triển,0,0.7272727272727273
Mục đích ra đời của chương trình tài năng?,tuyển chọn và tạo điều kiện phát triển cho các sinh viên xuất sắc.,tuyển chọn và tạo điều kiện phát triển,0,0.7272727272727273
Chương trình tài năng cần đáp ứng những mục tiêu gì?,"mục tiêu và chuẩn đầu ra cao hơn,",tuyển chọn và tạo điều kiện phát triển cho các sinh viên xuất sắc,0,0.09090909090909091
Có yêu cầu nào đối với số tín chỉ các môn học tài năng không?,tối thiểu phải chiếm 25% tổng số tín chỉ của toàn chương trình đào tạo,tối thiểu phải chiếm 25% tổng số tín chỉ của toàn chương trình đào tạo,1,1.0
Tỷ lệ số tín chỉ các môn học tài năng tối thiểu phải chiếm bao phần trăm tổng số tín chỉ của toàn chương trình đào tạo?,25%,25% ,0,1.0
Năm học có bao nhiêu học kỳ chính?,2,2,1,1.0
"Ngoài học kỳ chính, trường có tổ chức học kỳ hè không?",không,Tùy theo điều kiện,0,0.0
Không đạt thì đăng ký học lại thì học lại khi nào?,các học kỳ tiếp theo.,học kỳ hè,0,0.5
Điểm rèn luyện dưới mức nào thì bị loại khỏi chương trình tài năng?,trở về  lớp đào tạo đại trà.Nếu,mức KHÁ,0,0.0
Trọng số của ĐTBCTL là gì?,số tín chỉ của mỗi môn học,là số tín chỉ của mỗi môn học ,0,0.9333333333333333
Em không biết điểm trung bình của các môn học mà em đã đăng ký kể từ lúc mới vào khóa học cho đến một thời điểm nào đó thì được gọi là điểm gì ạ?,Điểm trung bình chung tích lũy (ĐTBCTL),Điểm trung bình chung tích lũy (ĐTBCTL),1,1.0
"Em là sinh viên đại trà, cho em hỏi là loại điểm nào dùng để xét điều kiện làm khóa luận tốt nghiệp?",Điểm trung bình chung tích lũy (ĐTBCTL),ĐTBCTL,0,0.0
Mục đích của ĐTBCTL?,bảo lưu,"xét số tín chỉ được phép đăng ký trong học kỳ, học vượt, xét chuyển ngành/chương trình, xét điều kiện làm khóa luận tốt nghiệp",0,0.0
Loại điểm nào dùng để xét số tín chỉ được phép đăng ký trong học kỳ?,Điểm trung bình chung tích lũy,Điểm trung bình chung tích lũy (ĐTBCTL) ,0,0.923076923076923
Một trong những cơ sở dùng để xét số tín chỉ được phép đăng ký trong học kỳ là gì?,Điểm trung bình chung tích lũy (ĐTBCTL),Điểm trung bình chung tích lũy (ĐTBCTL) ,0,1.0
"Em muốn đăng ký học vượt, Trường sẽ dùng loại điểm nào của em để làm điều kiện xem xét cho chuyện đó ạ?",Điểm trung bình học kỳ,Điểm trung bình chung tích lũy (ĐTBCTL) ,0,0.5
Chương trình đào tạo bao gồm bao nhiêu khối kiến thức?,hai,hai khối kiến thức,0,0.4
Tại sao chương trình đào tạo lại chia làm đại cương và chuyên nghành?,các đơn vị quản lý chuyên môn có trách nhiệm cho sinh viên đăng ký,trang bị cho sinh viên nền học vấn rộng,0,0.25
Toán nằm trong khối kiến thức nào?,Khối kiến thức giáo dục đại cương,Khối kiến thức giáo dục đại cương và cơ sở nhóm ngành,0,0.7368421052631579
Mục đích chính của khối kiến thức giáo dục đại cương và cơ sở nhóm ngành?,nhằm,trang bị cho sinh viên nền học vấn rộng,0,0.0
Chính trị Mác Lê Nin là môn thuộc nhóm gì?,khối kiến thức,Khối kiến thức giáo dục đại cương và cơ sở nhóm ngành,0,0.26666666666666666
Thời gian tổ chức đào tạo khối kiến thức giáo dục đại cương và cơ sở nhóm ngành?,4 học kỳ đầu,4 học kỳ đầu ,0,1.0
Khối kiến thức giáo dục chuyên nghiệp cung cấp cho người học điều gì?,những kiến thức và kỹ năng nghề nghiệp cần thiết.,kiến thức và kỹ năng nghề nghiệp cần thiết,0,0.8421052631578948
Học phí học kỳ là gì ?,HPHK:,khoản tiền sinh viên phải đóng khi có đăng ký học phần mới trong học kỳ chính,0,0.0
Định nghĩa Học phí học kỳ,HPHK:,khoản tiền sinh viên phải đóng khi có đăng ký học phần mới trong học kỳ chính,0,0.0
HPHK phụ thuộc vào đâu?,không phụ thuộc vào số lượng tín chỉ sinh viên đăng ký học.,không phụ thuộc vào số lượng tín chỉ sinh viên đăng ký học,0,0.9230769230769231
HPHK có phụ thuộc vào số lượng tín chỉ sinh viên đăng ký học không?,không,không phụ thuộc,0,0.5
Ai là người quyết định mức học phí học kỳ?,sinh viên đang học tại Trường,Hiệu trưởng,0,0.0
Hiệu trưởng quyết định mức HPHK phải không?,không,Hiệu trưởng quyết định,0,0.0
Sinh viên phải đóng HPHK khi nào?,khi có đăng ký học phần mới trong học kỳ chính.,có đăng ký học phần mới trong học kỳ chính,0,0.761904761904762
Em đã thi ở một trường Đại học khác và có kết quả nhưng em không biết điểm thì phải làm gì?,cần phải làm đơn,phải làm đơn kèm xác nhận về P. ĐTĐH,0,0.46153846153846156
Điểm M dùng để làm gì?,"xét học bổng, khen thưởng, xử lý học vụ sau mỗi học kỳ.",phân biệt với loại điểm mà sinh viên tích lũy được bằng cách thi,0,0.0
"Em thấy trong phiếu điểm của một số bạn có chữ M, không biết ý nghĩa của nó là gì ạ?",bảo lưu,phân biệt với loại điểm mà sinh viên tích lũy được bằng cách thi,0,0.0
Để được xét điểm M thì phải làm thủ tục gì?,số tín chỉ,làm đơn kèm xác nhận về P. ĐTĐH để xem xét,0,0.0
Vì sao em thấy trong học bạ của một số bạn có chữ M mà em lại không có?,Điểm bảo lưu:,phân biệt với loại điểm mà sinh viên tích lũy được bằng cách thi,0,0.0
"Đơn xin xác nhận điểm M em làm xong rồi, nhưng không biết phải gửi ai ạ?",P. ĐTĐH của Trường,P. ĐTĐH,0,0.6666666666666666
Cho em hỏi trường làm cách nào để phân biệt điểm có được của một học phần khác ở một CSĐT khác với điểm tích lũy khi thi?,ghi điểm học phần bằng ký hiệu (M),ghi điểm học phần bằng ký hiệu (M) để phân biệt ,0,0.8421052631578948
"Em được Trường cử đi tham gia kỳ thi quốc gia, thì thành tích của em trong kỳ thi đó có được ghi nhận vào điểm học phần hay không?",không,sinh viên được nhận điểm M hoặc điểm cụ thể,0,0.0
Trường sẽ tiến hành xử lý học vụ vào khoảng thời gian nào?,sau học kỳ 1 và sau học kỳ hè.,sau học kỳ 1 và sau học kỳ hè,0,0.5555555555555556
Có bao nhiêu đợt xử lý học vụ?,2,2 đợt,0,0.6666666666666666
Ai sẽ tiến hành xử lý học vụ?,Trường,Trường,1,1.0
Đợt 2 của việc xử lý học vụ sẽ được tiến hành vào khoảng thời gian nào?,học kỳ hè.,sau học kỳ hè,0,0.5714285714285715
"Hằng năm, sau học kỳ 1 và sau học kỳ hè, Trường sẽ tiến hành làm gì?",xử lý học vụ,xử lý học vụ ,0,1.0
Kết quả học tập của học kỳ hè sẽ được tính chung vào kết quả học tập của học kỳ nào?,học kỳ 2,học kỳ 2 của năm học tương ứng,0,0.5454545454545454
"Khi xem xét xử lý học vụ, kết quả học tập của học kỳ hè sẽ được tính như thế nào?",hè.,tính chung vào kết quả học tập học kỳ 2 của năm học tương ứng,0,0.0
Chương trình đào tạo 2 nghành gọi là gì?,"chương trình song ngành,",Chương trình song ngành,0,0.5
Ngành thứ 2 phải như thế nào để được xét là học song nghành?,lên.,khối lượng kiến thức từ 30 tín chỉ trở lên,0,0.0
Chương trình đào tạo ngành thứ nhất của chương trình song ngành phải như thế nào?,Đã hoàn thành học kỳ 1 năm học,quy định tại Điều 7,0,0.0
Yêu cầu số lượng tín chỉ tối thiểu của chương trình đào tạo ngành thứ hai của chương trình song ngành là bao nhiêu?,hai,30 tín chỉ trở lên ,0,0.0
"Những nội dung giống nhau, tương đương giữa hai chương trình đào tạo của chương trình song ngành được tính như nào?",khối lượng kiến thức một lần).,khối lượng kiến thức một lần,0,0.8333333333333334
Việc tổ chức và quản lý đào tạo được thực hiện liên thông giữa những cơ quan nào?,"các khoa, bộ môn trong Trường hoặc giữa các CSĐT trong ĐHQG-","giữa các khoa, bộ môn trong Trường hoặc giữa các CSĐT trong ĐHQG- HCM",0,0.7692307692307692
Cơ quan nào thực hiện việc tổ chức và quản lý đào tạo chương trình song ngành,ĐHQG- HCM,"các khoa, bộ môn trong Trường hoặc giữa các CSĐT trong ĐHQG- HCM",0,0.2666666666666667
"Các khoa, bộ môn trong Trường hoặc giữa các CSĐT trong ĐHQG-HCM thực hiện chức năng gì trong chương trình song ngành?",Việc tổ chức và quản lý đào tạo,tổ chức và quản lý đào tạo,0,0.9333333333333333
Sinh viên có hoàn cảnh đặc biệt khó khăn không thể hoàn thành học phí đúng hạn thì phải làm gì?,làm đơn xin gia hạn đóng học phí,làm đơn xin gia hạn đóng học phí và nộp về Phòng Kế hoạch – Tài chính,0,0.6399999999999999
Bộ phận (phòng ban) nào giải quyết trường hợp sinh viên không kịp đóng học phí?,Phòng Kế hoạch – Tài chính,Phòng Kế hoạch – Tài chính ,0,1.0
Đơn xin gia hạn đóng học phí nộp ở đâu?,Phòng Kế hoạch – Tài chính,Phòng Kế hoạch – Tài chính ,0,1.0
Đối tượng nào được làm đơn xin gia hạn đóng học phí?,sinh,sinh viên có hoàn cảnh đặc biệt khó khăn,0,0.19999999999999998
Sinh viên có hoàn cảnh đặc biệt khó khăn không thể hoàn thành học phí đúng hạn thì nộp đơn xin gia hạn đóng học phí ở đâu,Phòng Kế hoạch – Tài chính,Phòng Kế hoạch – Tài chính ,0,1.0
Thời hạn để sinh viên có hoàn cảnh đặc biệt khó khăn không thể hoàn thành học phí đúng hạn nộp đơn xin gia hạn học phí?,trước thời hạn đóng học phí,trước thời hạn đóng học phí,1,1.0
Đơn xin gia hạn đóng học phí được xét khi nào?,trước thời hạn đóng học phí,không thể hoàn thành học phí đúng hạn,0,0.42857142857142855
Đơn xin gia hạn đóng học phí nộp sau thời hạn đóng học phí theo quy định có được không?,Nếu sinh viên có hoàn cảnh đặc biệt khó khăn không,trước thời hạn đóng học phí,0,0.0
Điểm rèn luyện tối thiểu để nộp hồ sơ đề nghị xét tốt nghiệp?,50 điểm.,50 điểm,0,0.5
Cần phải tích lũy bao nhiêu điểm rèn luyện để nộp hồ sơ đề nghị xét tốt nghiệp?,50 điểm.,tối thiểu là 50 điểm,0,0.28571428571428575
Ai là người quyết định cho sinh viên tốt nghiệp?,"người hướng dẫn và người phản biện,",Hiệu trưởng,0,0.0
Cần phải được ai thông qua thì sinh viên mới được công nhận tốt nghiệp?,Hiệu trưởng,Hiệu trưởng,1,1.0
Điểm trung bình tích lũy toàn khóa (ĐTBTLTK) tính như thế nào á?,"theo kết quả của các học phần đạt từ điểm 5,0 trở lên","heo kết quả của các học phần đạt từ điểm 5,0 trở lên",0,0.9230769230769231
Em không biết cách tính điểm trung bình tích lũy toàn khóa?,(ĐTBTLTK),"tính theo kết quả của các học phần đạt từ điểm 5,0 trở lên ",0,0.0
"Loại điểm tính theo kết quả của các học phần đạt từ điểm 5,0 trở lên mà sinh viên đã đăng ký học tại Trường được gọi là gì?",Điểm trung bình tích lũy toàn khóa (ĐTBTLTK),Điểm trung bình tích lũy toàn khóa,0,0.9333333333333333
ĐTBTLTK có tính luôn điểm của các học phần đã bảo lưu không?,(kể,kể cả các học phần có điểm bảo lưu,0,0.0
"Em có bảo lưu một số học phần, không biết điểm của những học phần này có được tính gộp vào điểm trung bình tích lũy toàn khóa hay không?",có,kể cả các học phần có điểm bảo lưu,0,0.19999999999999998
ĐTBTLTK được dùng để làm gì?,phân loại kết quả học tập và xếp hạng tốt nghiệp.,phân loại kết quả học tập và xếp hạng tốt nghiệp,0,0.9090909090909091
Dựa vào đâu ta có thể phân loại kết quả học tập và xếp hạng tốt nghiệp?,Điểm trung bình tích lũy toàn khóa (ĐTBTLTK),Điểm trung bình tích lũy toàn khóa,0,0.9333333333333333
Phân loại kết quả học tập và xếp hạng tốt nghiệp bằng cách nào vậy?,Điểm trung bình tích lũy toàn khóa (ĐTBTLTK),Điểm trung bình tích lũy toàn khóa,0,0.9333333333333333
Điểm trung bình tích lũy toàn khóa của em được tính khi nào?,"sinh viên đủ điều kiện tốt nghiệp,",ĐTBTLTK được tính khi sinh viên đủ điều kiện tốt nghiệp,0,0.6666666666666665
Điều kiện để sinh viên được dự thi kết thúc học phần với lớp lí thuyết?,Có mặt ở lớp từ 80% trở lên thời gian,Có mặt ở lớp từ 80% trở lên thời gian quy định,0,0.9090909090909091
Sinh viên được dự thi kết thúc học phần nếu hội đủ các điều kiện nào với lớp thực hành?,Sinh,"tham dự đầy đủ thời gian quy định cho học phần thực hành, Nộp đầy đủ các bài kiểm tra sau mỗi bài thực hành",0,0.0
Ai nào không cần có mặt mặt ở lớp vẫn có thể được dự thi kết thúc học phần?,từ 80%,sinh viên được Hiệu trưởng cho phép học thêm ngành chuyên môn khác,0,0.0
Đối với các ngành đào tạo có chia chuyên ngành thì các đơn vị quản lý chuyên môn có trách nhiệm gì?,cho sinh viên đăng ký chuyên ngành sau khi kết thúc học kỳ thứ 5.,cho sinh viên đăng ký chuyên ngành,0,0.6363636363636364
Đơn vị quản lý chuyên môn thực hiện nhiệm vụ gì đối với các ngành đào tạo có chia chuyên ngành?,cho sinh viên đăng ký chuyên ngành sau khi kết thúc học kỳ thứ 5.,cho sinh viên đăng ký chuyên ngành,0,0.6363636363636364
Sinh viên được đăng ký chuyên ngành khi nào?,sau khi kết thúc học kỳ thứ 5.,sau khi kết thúc học kỳ thứ 5,0,0.875
Học kì nào sinh viên bắt đầu đăng ký chuyên ngành?,học kỳ thứ 5.,học kỳ thứ 5,0,0.75
Đơn vị nào chịu trách nhiệm cho sinh viên đăng ký chuyên ngành đối với các ngành đào tạo có chia chuyên ngành?,các đơn vị quản lý chuyên môn,các đơn vị quản lý chuyên môn ,0,1.0
Đơn vị quản lý chuyên môn làm gì?,cung cấp danh sách sinh viên theo chuyên ngành cho P.ĐTĐH,cung cấp danh sách sinh viên theo chuyên ngành,0,0.9
Chức năng của P.ĐTĐH trong việc cho sinh viên đăng ký chuyên ngành?,làm căn cứ mở lớp và xét tốt nghiệp.,làm căn cứ mở lớp và xét tốt nghiệp,0,0.8888888888888888
Danh sách sinh viên được cung cấp bởi đơn vị nào?,Đơn vị quản lý chuyên môn,Đơn vị quản lý chuyên môn,1,1.0
Vì sao đơn vị quản lý chuyên môn phải cung cấp danh sách sinh viên theo chuyên ngành cho P.ĐTĐH?,làm căn cứ mở lớp và xét tốt nghiệp.,làm căn cứ mở lớp và xét tốt nghiệp,0,0.8888888888888888
Chương trình đào tạo có các môn học bổ trợ kiến thức khác được gọi là gì?,Chương trình ngành chính - ngành phụ,Chương trình ngành chính - ngành phụ,1,0.8571428571428571
Khối lượng kiến thức của chương trình ngành chính - ngành phụ?,từ 30 tín chỉ trở lên,từ 15 đến 29 tín chỉ,0,0.5
Số tín chỉ đạt được sau khi hoàn thành chương trình ngành chính - ngành phụ?,70%,từ 15 đến 29 tín chỉ,0,0.0
Các kiến thức của chương trình ngành chính - ngành phụ chủ yếu thuộc khối kiến thức nào?,khối kiến thức ngành.,khối kiến thức ngành,0,0.75
Khối kiến thức nào chiếm tỉ lệ cao trong chương trình ngành chính - ngành phụ?,khối kiến thức ngành.,khối kiến thức ngành,0,0.75
Mục đích của chương trình ngành chính - ngành phụ?,bổ sung thêm các môn học của chương trình đào tạo ngành thứ hai,bổ sung thêm các môn học của chương trình đào tạo,0,0.88
Các môn học bổ sung được thể hiện qua điều gì?,bảng điểm cấp kèm theo bằng tốt nghiệp.,bảng điểm cấp kèm theo bằng tốt nghiệp,0,0.875
Thế nào là sinh viên tự do?,trước.,đã hết thời hạn tối đa của khóa học và chưa đủ điều kiện tốt nghiệp,0,0.0
Sinh viên tự do bao gồm những đối tượng nào?,những học phần chứa đựng những nội dung kiến thức cần thiết,sinh viên chính quy đã hết thời hạn tối đa của khóa học và chưa đủ điều kiện tốt nghiệp,0,0.0625
Đối tượng nào được liệt kê vào danh sách sinh viên tự do?,dự thính,"sinh viên chính quy đã hết thời hạn tối đa của khóa học và chưa đủ điều kiện tốt nghiệp, có nguyện vọng hoàn tất chương trình đào tạo hoặc là sinh viên chính quy có khả năng bị xử lý học vụ hình thức buộc thôi học vì lý do học tập nhưng đã đạt số tín chỉ tích lũy tối thiểu là 70% so với chương trình đào tạo của khóa học và ngành tương ứng, có nguyện vọng hoàn tất chương trình đào tạo",0,0.0
"Những sinh viên chính quy đã hết thời hạn tối đa của khóa học và chưa đủ điều kiện tốt nghiệp, có nguyện vọng hoàn tất chương trình đào tạo hoặc là sinh viên chính quy có khả năng bị xử lý học vụ hình thức buộc thôi học vì lý do học tập nhưng đã đạt số tín chỉ tích lũy tối thiểu là 70% so với chương trình đào tạo của khóa học và ngành tương ứng, có nguyện vọng hoàn tất chương trình đào tạo được gọi là gì?",Sinh viên tự do,Sinh viên tự do,1,1.0
Sinh viên tự do đạt được điều kiện nào thì được xét bằng tốt nghiệp?,đủ điều kiện tốt nghiệp ở chương trình đào tạo thứ nhất., hoàn thành chương trình học trong thời gian không quá 2 lần thời gian thiết kế của khóa học,0,0.12903225806451615
"Làm sao để sinh viên tự do nhận được bằng tốt nghiệp?
",học, hoàn thành chương trình học trong thời gian không quá 2 lần thời gian thiết kế của khóa học,0,0.1
"Để nhận được bằng tốt nghiệp, sinh viên tự do cần làm gì?",học, hoàn thành chương trình học trong thời gian không quá 2 lần thời gian thiết kế của khóa học,0,0.1
Sinh viên tự do được xét tốt nghiệp khi nào?,"chương trình đào tạo thứ hai,",Sinh viên tự do hoàn thành chương trình học trong thời gian không quá 2 lần thời gian thiết kế của khóa học thì được xét cấp bằng tốt nghiệp,0,0.1111111111111111
Giấy chứng nhận hoàn thành chương trình đào tạo được cấp trong trường hợp nào?,nếu hoàn thành nhưng quá 2 lần thời gian thiết kế của khóa học,nếu hoàn thành nhưng quá 2 lần thời gian thiết kế của khóa học thì Trường chỉ cấp giấy chứng nhận hoàn thành chương trình đào tạo,0,0.6829268292682926
Mỗi khối kiến thức có bao nhiêu nhóm học phần?,hai,2,0,0.0
Nhóm học phần bắt buộc gồm những học phần nào?,"những nội dung kiến thức chính yếu của ngành đào tạo,",gồm những học phần chứa đựng những nội dung kiến thức chính yếu của ngành đào tạo,0,0.7142857142857143
Đặc điểm của nhóm học phần bắt buộc là gì?,Nhóm,"gồm những học phần chứa đựng những nội dung kiến thức chính yếu của ngành đào tạo, bắt buộc sinh viên phải đăng ký học và tích lũy",0,0.0
Nhóm học phần tự chọn chứa đựng những nội dung kiến thức nào?,những nội dung kiến thức cần thiết,chứa đựng những nội dung kiến thức cần thiết và sinh viên được tự chọn theo hướng chuyên môn,0,0.5384615384615384
Các học phần tự chọn được sắp xếp như thế nào?,số các học phần tự chọn quy định cho mỗi ngành đào tạo.,có thể được xếp theo từng nhóm,0,0.0
"Đối với các học phần tự chọn, yêu cầu đối sinh viên như thế nào?",nếu,phải tích lũy được một số học phần nhất định trong từng nhóm,0,0.0
Em có thể nhờ ai để chọn học phần tự chọn,đăng ký học lại học phần đó hoặc chọn học phần khác,cố vấn học tập,0,0.125
Ai là người hướng dẫn sinh viên lựa chọn học phần?,cố vấn học tập.,cố vấn học tập,0,0.75
Cố vấn học tập có vai trò gì?,Nhiệm,Sinh viên chọn lựa những học phần này theo hướng dẫn,0,0.0
ĐHQG là gì?,"""Đại học Quốc gia TP.Hồ Chí Minh"".","viết tắt của ""Đại học Quốc gia TP.Hồ Chí Minh""",0,0.7058823529411764
"Em đi trên hành lang trường thì thấy bảng tên đề ĐHQG, không hiểu có nghĩa là gì?",đề nghị Trường cấp bảng điểm.,"viết tắt của ""Đại học Quốc gia TP.Hồ Chí Minh""",0,0.0
Tiên tiến viết tắt là gì?,CTTT,Chương trình tiên tiến,0,0.0
VPĐB?,"VPĐB là viết tắt của ""Văn phòng đặc biệt"".",Văn phòng đặc biệt,0,0.30769230769230765
